,replaced,id
0,'s baking chocolate,0
1,'s chocolate chip,1
2,'s hugs chocolate,2
3,'s sauce,3
4,'s sour cream,4
5,'s spicy seasoning,5
6,'s syrup,6
7,'s teriyaki sauce,7
8,10 bean soup mix,8
9,10-minute success rice,9
10,100 proof vodka,10
11,15 bean mix,11
12,15 bean soup mix,12
13,3 bean mix,13
14,7-up,14
15,7-up soda,15
16,a.1. sauce,16
17,absinthe,17
18,absolut citron vodka,18
19,absolut kurant vodka,19
20,absolut mandarin vodka,20
21,absolut vodka,21
22,accent seasoning,22
23,aceto balsamico,23
24,acid blend,24
25,acini di pepe pastum,25
26,acorn squash,26
27,active starter,27
28,adobo sauce,28
29,adobo seasoning,29
30,adolph's meat tenderizer,30
31,advocaat,31
32,adzuki bean,32
33,after dinner mint,33
34,agar,34
35,agar-agar,35
36,agar-agar flake,36
37,agave,37
38,agave nectar,38
39,agave syrup,39
40,aguardiente,40
41,ahi,41
42,ahi tuna steak,42
43,aioli,43
44,aji yellow paste,44
45,ajinomoto,45
46,ajvar,46
47,ajwain,47
48,albacore tuna,48
49,albacore tuna in water,49
50,alcohol,50
51,ale,51
52,aleppo pepper,52
53,alfalfa,53
54,alfalfa sprout,54
55,alfredo,55
56,alfredo sauce,56
57,alfredo sauce mix,57
58,all beef wiener,58
59,all purpose flmy,59
60,all purpose greek seasoning,60
61,all-bran cereal,61
62,all-purpose baking flmy,62
63,all-purpose flmy,63
64,all-purpose seasoning,64
65,all-purpose white flmy,65
66,alligator meat,66
67,alligator tail steak,67
68,allspice,68
69,allspice berry,69
70,almond,70
71,almond bark,71
72,almond brickle chip,72
73,almond butter,73
74,almond cookie,74
75,almond cookies,75
76,almond essence,76
77,almond extract,77
78,almond filling,78
79,almond flmy,79
80,almond half,80
81,almond halve,81
82,almond liqueur,82
83,almond meal,83
84,almond milk,84
85,almond oil,85
86,almond paste,86
87,almond powder,87
88,almond syrup,88
89,almond toffee bit,89
90,almonding,90
91,aloe juice,91
92,alphabet pasta and vegetable soup,92
93,alphabet pastum,93
94,alpine lace swiss cheese,94
95,alum,95
96,aluminum foil,96
97,amaranth,97
98,amaranth flmy,98
99,amaretti cookie,99
100,amaretti cookie crumb,100
101,amaretti cookies,101
102,amarettini,102
103,amaretto,103
104,amaretto coffee creamer,104
105,amaretto di saronno liqueur,105
106,amaretto liqueur,106
107,amarettus,107
108,amarula cream liqueur,108
109,amber beer,109
110,amchur,110
111,amchur powder,111
112,american cheese,112
113,american cheese single,113
114,american cheese slice,114
115,amish batter,115
116,amish starter,116
117,ammonium,117
118,anaheim chili,118
119,anaheim chily,119
120,anasazi bean,120
121,ancho chili,121
122,ancho chily,122
123,anchovies packed in oil,123
124,anchovy,124
125,anchovy fillet,125
126,anchovy paste,126
127,and white chocolate swirled chocolate morsel,127
128,andes mint baking chip,128
129,andes mints candy,129
130,angel flake coconut,130
131,angel food cake,131
132,angel hair pastum,132
133,angelica,133
134,angelica leaf,134
135,angostura bitter,135
136,angostura worcestershire sauce,136
137,angus steak,137
138,animal cracker,138
139,anise,139
140,anise extract,140
141,anise liqueur,141
142,anise oil,142
143,anise seed,143
144,aniseing,144
145,anisette,145
146,anjou pear,146
147,annatto,147
148,any desired food coloring,148
149,appenzeller cheese,149
150,apple,150
151,apple brandy,151
152,apple butter,152
153,apple chip,153
154,apple cider,154
155,apple cider vinegar,155
156,apple crumble mix,156
157,apple fruit filling and topping,157
158,apple jelly,158
159,apple juice,159
160,apple juice concentrate,160
161,apple liqueur,161
162,apple pie filling,162
163,apple pie spice,163
164,apple ring,164
165,apple schnapp,165
166,apple syrup,166
167,apple-raspberry juice concentrate,167
168,apple-smoked bacon,168
169,applejack,169
170,applesauce,170
171,apricot,171
172,apricot baby food,172
173,apricot brandy,173
174,apricot filling,174
175,apricot fruit spread,175
176,apricot gelatin,176
177,apricot half,177
178,apricot halves in juice,178
179,apricot halves in light syrup,179
180,apricot jam,180
181,apricot juice,181
182,apricot liqueur,182
183,apricot nectar,183
184,apricot preserve,184
185,apricot puree,185
186,apricot syrup,186
187,apricot-pineapple preserve,187
188,apricots in juice,188
189,apricots in syrup,189
190,aquavit,190
191,arabic bread,191
192,arabic seven spice,192
193,arame seaweed,193
194,arbol chili powder,194
195,arborio rice,195
196,arm roast,196
197,armagnac,197
198,aromatic bitter,198
199,arrack liqueur,199
200,arrowroot,200
201,arrowroot cookies,201
202,artichoke,202
203,artichoke bottom,203
204,artichoke heart,204
205,artichoke hearts in brine,205
206,artichoke hearts packed in oil,206
207,artichoke quarters in water,207
208,artificial sweetener,208
209,artificial vanillaing,209
210,arugula,210
211,arugula leaf,211
212,asadero cheese,212
213,asafoetida powder,213
214,ascorbic acid,214
215,asiago 3-cheese blend,215
216,asiago cheese,216
217,asiago-parmesan cheese,217
218,asian noodle,218
219,asian pear,219
220,asian seasoning,220
221,asparagu,221
222,asparagus spear,222
223,asparagus tip,223
224,assorted crudite,224
225,assorted fresh vegetable,225
226,assorted herb,226
227,atkins baking mix,227
228,atlantic salmon fillet,228
229,ature almond joy bar,229
230,ature bagel,230
231,ature butterscotch chip,231
232,ature candy cane,232
233,ature chocolate chip,233
234,ature chocolate egg,234
235,ature corn cob,235
236,ature dark chocolate chip,236
237,ature graham cracker pie crust,237
238,ature hot dog,238
239,ature kiss,239
240,ature m&m baking bit,240
241,ature marshmallow,241
242,ature oreo cookies,242
243,ature party rye round,243
244,ature peanut butter cup,244
245,ature peppermint patty,245
246,ature phyllo cup,246
247,ature pretzel,247
248,ature pretzel twist,248
249,ature tart shell,249
250,au gratin potato,250
251,au gratin potato mix,251
252,au jus mix,252
253,au jus sauce,253
254,aubergine,254
255,avocado,255
256,avocado dip,256
257,avocado oil,257
258,azuki bean,258
259,baby artichoke,259
260,baby arugula,260
261,baby asparagu,261
262,baby back rib,262
263,baby back rib rack,263
264,baby beet,264
265,baby bella mushroom,265
266,baby bok choy,266
267,baby butter bean,267
268,baby calamarus,268
269,baby carrot,269
270,baby chicken,270
271,baby clam,271
272,baby corn,272
273,baby eggplant,273
274,baby food,274
275,baby green,275
276,baby green pea,276
277,baby leek,277
278,baby lima bean,278
279,baby octopu,279
280,baby onion,280
281,baby pea,281
282,baby portabella mushroom,282
283,baby potato,283
284,baby red potato,284
285,baby rocket,285
286,baby salad leaf,286
287,baby shrimp,287
288,baby spinach,288
289,baby spinach leaf,289
290,baby sweet corn cob,290
291,baby swiss cheese,291
292,baby tomato,292
293,baby turnip,293
